ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       655
トリガ点,         0
開始時刻,2021-07-31,14:22:43
終了時刻,2021-07-31,14:33:37
トリガ時刻,2021-07-31,14:22:43
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
       121,2021/7/31,14:24:43,     0,- 0.186,+ 0.075,LLLL,LLLL
       122,2021/7/31,14:24:44,     0,- 0.117,- 0.230,LLLL,LLLL
       123,2021/7/31,14:24:45,     0,+ 0.035,- 0.319,LLLL,LLLL
       124,2021/7/31,14:24:46,     0,+ 0.114,- 0.323,LLLL,LLLL
       125,2021/7/31,14:24:47,     0,- 0.014,- 0.523,LLLL,LLLL
       126,2021/7/31,14:24:48,     0,+ 0.086,- 0.077,LLLL,LLLL
       127,2021/7/31,14:24:49,     0,- 0.151,- 0.355,LLLL,LLLL
       128,2021/7/31,14:24:50,     0,- 0.067,- 0.176,LLLL,LLLL
       129,2021/7/31,14:24:51,     0,- 0.066,- 0.327,LLLL,LLLL
       130,2021/7/31,14:24:52,     0,+ 0.024,- 0.183,LLLL,LLLL
       131,2021/7/31,14:24:53,     0,- 0.078,- 0.236,LLLL,LLLL
       132,2021/7/31,14:24:54,     0,- 0.012,- 0.117,LLLL,LLLL
       133,2021/7/31,14:24:55,     0,+ 0.074,- 0.352,LLLL,LLLL
