Vendor,GRAPHTEC Corporation,,,,,,,,,,,
Model,GL2000,,,,,,,,,,,
Version,Ver1.10,Rev0001,,,,,,,,,,
MaxChannel, 4CH,,,,,,,,,,,
Logic/Pulse, Off,,,,,,,,,,,
TempUnit, C,,,,,,,,,,,
Sampling interval, 200ms,,,,,,,,,,,
Total data points,3033,,,,,,,,,,,
Trigger,0,,,,,,,,,,,
Start time, 2021-12-29,14:14:32,,,,,,,,,,
End time, 2021-12-29,14:24:38,,,,,,,,,,
Trigger time, 2021-12-29,14:14:32,,,,,,,,,,
AMP settings,,,,,,,,,,,,
CH,Signal name,Amp,Input,Range,Filter,Span,,Unit,Color,,,Line Width
CH1," "" CH 1""", M, DC, 5V, Off,2.5,-2.5, V,28,5,6,0
CH2," "" CH 2""", M, DC, 5V, Off,2.5,-2.5, V,0,13,23,0
CH3," "" CH 3""", M, DC, 5V, Off,2.5,-2.5, V,9,22,8,0
Data,,,,,,,,,,,,
Number,Date,Time,us, CH1, CH2, CH3, Alarm,AlarmOut,,,,
NO.,Date,Time,us, V, V, V, A1234,AO1234,,,,
149,2021/12/29,14:15:01,600000,-0.009,-0.009,-0.78,LLLL,LLLL,,,,
150,2021/12/29,14:15:01,800000,-0.007,-0.012,-0.78,LLLL,LLLL,,,,
151,2021/12/29,14:15:02,0,-0.008,-0.01,-0.782,LLLL,LLLL,,,,
152,2021/12/29,14:15:02,200000,-0.01,-0.014,-0.779,LLLL,LLLL,,,,
153,2021/12/29,14:15:02,400000,-0.009,-0.01,-0.78,LLLL,LLLL,,,,
154,2021/12/29,14:15:02,600000,-0.01,-0.012,-0.778,LLLL,LLLL,,,,
155,2021/12/29,14:15:02,800000,-0.008,-0.012,-0.783,LLLL,LLLL,,,,
156,2021/12/29,14:15:03,0,-0.009,-0.013,-0.778,LLLL,LLLL,,,,
157,2021/12/29,14:15:03,200000,-0.009,-0.011,-0.779,LLLL,LLLL,,,,
158,2021/12/29,14:15:03,400000,-0.006,-0.013,-0.781,LLLL,LLLL,,,,
159,2021/12/29,14:15:03,600000,-0.011,-0.015,-0.777,LLLL,LLLL,,,,
160,2021/12/29,14:15:03,800000,-0.011,-0.013,-0.779,LLLL,LLLL,,,,
161,2021/12/29,14:15:04,0,-0.009,-0.012,-0.781,LLLL,LLLL,,,,
162,2021/12/29,14:15:04,200000,-0.01,-0.014,-0.783,LLLL,LLLL,,,,
163,2021/12/29,14:15:04,400000,-0.013,-0.011,-0.779,LLLL,LLLL,,,,
164,2021/12/29,14:15:04,600000,-0.009,-0.012,-0.779,LLLL,LLLL,,,,
165,2021/12/29,14:15:04,800000,-0.011,-0.01,-0.78,LLLL,LLLL,,,,
166,2021/12/29,14:15:05,0,-0.01,-0.011,-0.777,LLLL,LLLL,,,,
167,2021/12/29,14:15:05,200000,-0.007,-0.011,-0.779,LLLL,LLLL,,,,
168,2021/12/29,14:15:05,400000,-0.009,-0.011,-0.782,LLLL,LLLL,,,,
169,2021/12/29,14:15:05,600000,-0.009,-0.011,-0.779,LLLL,LLLL,,,,
170,2021/12/29,14:15:05,800000,-0.009,-0.011,-0.778,LLLL,LLLL,,,,
171,2021/12/29,14:15:06,0,-0.009,-0.012,-0.781,LLLL,LLLL,,,,
172,2021/12/29,14:15:06,200000,-0.01,-0.013,-0.782,LLLL,LLLL,,,,
173,2021/12/29,14:15:06,400000,-0.011,-0.011,-0.78,LLLL,LLLL,,,,
174,2021/12/29,14:15:06,600000,-0.013,-0.013,-0.778,LLLL,LLLL,,,,
175,2021/12/29,14:15:06,800000,-0.009,-0.012,-0.779,LLLL,LLLL,,,,
176,2021/12/29,14:15:07,0,-0.01,-0.013,-0.775,LLLL,LLLL,,,,
177,2021/12/29,14:15:07,200000,-0.011,-0.013,-0.779,LLLL,LLLL,,,,
178,2021/12/29,14:15:07,400000,-0.01,-0.012,-0.783,LLLL,LLLL,,,,
179,2021/12/29,14:15:07,600000,-0.009,-0.012,-0.777,LLLL,LLLL,,,,
180,2021/12/29,14:15:07,800000,-0.01,-0.014,-0.779,LLLL,LLLL,,,,
181,2021/12/29,14:15:08,0,-0.011,-0.013,-0.782,LLLL,LLLL,,,,
182,2021/12/29,14:15:08,200000,-0.01,-0.014,-0.777,LLLL,LLLL,,,,
183,2021/12/29,14:15:08,400000,-0.011,-0.011,-0.78,LLLL,LLLL,,,,
